Hour,Coal,Gas,Nuclear,Hydro,Wind,Solar,Other,Storage,ACTUAL_LMP_ILLINOIS_HUB,DA_LMP_ILLINOIS HUB
1,"15,250.30","5,164.50","4,691.00",546.6,"4,988.00",1,368.1,0,34.05,27.68
2,"14,979.90","4,966.80","4,697.20",509.3,"5,088.50",1.2,369.7,0,32.04,24.79
3,"14,694.60","5,028.60","4,695.00",638.4,"5,067.10",1.6,365.9,0,35.53,20.27
4,"14,509.30","4,947.10","4,692.00",648.8,"4,990.90",1.5,365.4,0,30.9,20.89
5,"14,530.60","4,793.40","4,691.20",602,"5,078.70",1.4,348.3,0,29.28,20.54
6,"14,341.10","5,050.80","4,690.00",668.2,"5,670.60",1.4,352.3,0,32.64,23.09
7,"15,057.70","5,803.90","4,691.00","1,635.70","5,381.40",1.2,393.7,0,44.78,30.86
8,"15,687.80","6,618.60","4,689.40","2,538.90","5,422.40",0.9,431,2.4,57.92,49.43
9,"16,239.40","7,403.70","4,684.70","1,699.50","5,526.20",11.4,419.6,0,48.23,51.89
10,"16,415.70","7,489.00","4,685.10",871.3,"5,783.60",259.4,382,0,51.69,47.73
11,"16,511.10","6,488.60","4,684.30",806.7,"6,001.20",537.1,364.2,0,51.33,45.65
12,"15,949.50","6,280.10","4,681.40",800.9,"6,039.30",515.3,360.3,0,47.93,45.44
13,"15,710.20","6,050.50","4,676.90",808.6,"5,994.30",510.2,361,0,46.24,44
14,"15,429.00","5,952.00","4,675.10",797.2,"5,870.00",438.9,361.7,1.8,44.84,42.01
15,"15,342.00","5,942.80","4,673.10",772.2,"6,035.00",302.6,381.3,1,45.15,40.94
16,"15,194.90","5,803.20","4,672.00",767.7,"6,240.20",207.5,370.2,0,44.54,41.04
17,"15,209.50","6,133.90","4,667.40",739.5,"6,269.10",64.1,365.8,0,53.53,44.19
18,"15,256.00","6,359.30","4,666.40",931,"6,232.50",3.1,366.5,0.8,55.77,50.08
19,"15,224.50","6,414.40","4,665.50",996,"6,261.10",0.6,362.7,0,49.74,48.84
20,"15,157.10","6,110.20","4,662.40",716.7,"6,133.00",0.4,366.6,0,47.25,44.84
21,"15,028.80","5,601.50","4,665.10",705.5,"6,115.00",0.2,367,0,42.69,40.05
22,"14,665.20","5,338.90","4,667.50",705.5,"6,146.70",0.4,362.9,0,33.4,37.75
23,"13,987.40","4,795.00","4,666.10",696.8,"6,436.50",0.9,351.1,0,32.64,33.83
24,"13,175.70","4,379.80","4,665.60",702.4,"6,415.20",1.5,351.4,0,24.92,27.88